date,equity
2025-07-09,500.0
2025-07-09,495.0
2025-07-09,490.05
2025-07-09,485.15
2025-07-09,480.3
2025-07-09,494.71
2025-07-10,494.71
2025-07-10,494.71
2025-07-10,489.76
2025-07-10,484.86
2025-07-10,480.01
2025-07-10,494.41
2025-07-10,489.47
2025-07-11,489.47
2025-07-11,489.47
2025-07-11,504.15
2025-07-11,499.11
2025-07-11,494.12
2025-07-11,494.12
2025-07-11,494.12
2025-07-14,494.12
2025-07-14,494.12
2025-07-14,489.18
2025-07-14,484.29
2025-07-14,498.82
2025-07-14,493.83
2025-07-14,508.64
2025-07-15,508.64
2025-07-15,508.64
2025-07-15,503.56
2025-07-15,498.52
2025-07-15,493.54
2025-07-15,508.34
2025-07-15,503.26
2025-07-16,503.26
2025-07-16,503.26
2025-07-16,503.26
2025-07-16,498.23
2025-07-16,493.24
2025-07-16,508.04
2025-07-16,502.96
2025-07-17,502.96
2025-07-17,502.96
2025-07-17,518.05
2025-07-17,533.59
2025-07-17,528.26
2025-07-17,522.97
2025-07-17,517.74
2025-07-18,517.74
2025-07-18,517.74
2025-07-18,533.28
2025-07-18,549.27
2025-07-18,543.78
2025-07-18,560.09
2025-07-18,576.9
2025-07-21,576.9
2025-07-21,576.9
2025-07-21,571.13
2025-07-21,588.26
2025-07-21,582.38
2025-07-21,576.56
2025-07-21,570.79
2025-07-22,570.79
2025-07-22,570.79
2025-07-22,570.79
2025-07-22,570.79
2025-07-22,570.79
2025-07-22,570.79
2025-07-22,570.79
2025-07-23,570.79
2025-07-23,570.79
2025-07-23,570.79
2025-07-23,565.08
2025-07-23,582.03
2025-07-23,576.21
2025-07-23,570.45
2025-07-24,570.45
2025-07-24,570.45
2025-07-24,564.75
2025-07-24,581.69
2025-07-24,575.87
2025-07-24,593.15
2025-07-24,610.94
2025-07-25,610.94
2025-07-25,610.94
2025-07-25,629.27
2025-07-25,622.98
2025-07-25,616.75
2025-07-25,610.58
2025-07-25,604.48
2025-07-28,604.48
2025-07-28,604.48
2025-07-28,598.43
2025-07-28,592.45
2025-07-28,610.22
2025-07-28,628.53
2025-07-28,622.24
2025-07-29,622.24
2025-07-29,622.24
2025-07-29,616.02
2025-07-29,609.86
2025-07-29,603.76
2025-07-29,597.72
2025-07-29,597.72
2025-07-30,597.72
2025-07-30,597.72
2025-07-30,591.75
2025-07-30,585.83
2025-07-30,603.4
2025-07-30,603.4
2025-07-30,621.51
2025-07-31,621.51
2025-07-31,621.51
2025-07-31,615.29
2025-07-31,615.29
2025-07-31,615.29
2025-07-31,615.29
2025-07-31,615.29
2025-08-01,615.29
2025-08-01,615.29
2025-08-01,633.75
2025-08-01,627.41
2025-08-01,621.14
2025-08-01,639.77
2025-08-01,658.97
2025-08-04,658.97
2025-08-04,658.97
2025-08-04,678.73
2025-08-04,699.1
2025-08-04,692.11
2025-08-04,685.18
2025-08-04,678.33
2025-08-05,678.33
2025-08-05,678.33
2025-08-05,678.33
2025-08-05,678.33
2025-08-05,678.33
2025-08-05,678.33
2025-08-05,678.33
2025-08-06,678.33
2025-08-06,678.33
2025-08-06,671.55
2025-08-06,664.83
2025-08-06,658.19
2025-08-06,677.93
2025-08-06,698.27
2025-08-07,698.27
2025-08-07,698.27
2025-08-07,719.22
2025-08-07,712.02
2025-08-07,712.02
2025-08-07,704.9
2025-08-07,726.05
2025-08-08,726.05
2025-08-08,726.05
2025-08-08,718.79
2025-08-08,740.35
2025-08-08,732.95
2025-08-08,725.62
2025-08-08,718.37
2025-08-11,718.37
2025-08-11,718.37
2025-08-11,739.92
2025-08-11,732.52
2025-08-11,754.49
2025-08-11,777.13
2025-08-11,800.44
2025-08-12,800.44
2025-08-12,800.44
2025-08-12,792.44
2025-08-12,784.51
2025-08-12,776.67
2025-08-12,799.97
2025-08-12,791.97
2025-08-13,791.97
2025-08-13,791.97
2025-08-13,784.05
2025-08-13,776.21
2025-08-13,768.45
2025-08-13,791.5
2025-08-13,815.24
2025-08-14,815.24
2025-08-14,815.24
2025-08-14,807.09
2025-08-14,799.02
2025-08-14,822.99
2025-08-14,847.68
2025-08-14,839.2
2025-08-15,839.2
2025-08-15,839.2
2025-08-15,839.2
2025-08-15,839.2
2025-08-15,839.2
2025-08-15,839.2
2025-08-15,839.2
2025-08-18,839.2
2025-08-18,839.2
2025-08-18,839.2
2025-08-18,839.2
2025-08-18,839.2
2025-08-18,839.2
2025-08-18,864.38
2025-08-19,864.38
2025-08-19,864.38
2025-08-19,864.38
2025-08-19,864.38
2025-08-19,855.74
2025-08-19,847.18
2025-08-19,838.71
2025-08-20,838.71
2025-08-20,838.71
2025-08-20,830.32
2025-08-20,822.02
2025-08-20,813.8
2025-08-20,805.66
2025-08-20,805.66
2025-08-21,805.66
2025-08-21,805.66
2025-08-21,829.83
2025-08-21,821.53
2025-08-21,846.18
2025-08-21,837.71
2025-08-21,862.85
2025-08-22,862.85
2025-08-22,862.85
2025-08-22,888.73
2025-08-22,915.39
2025-08-22,906.24
2025-08-22,933.43
2025-08-22,924.09
2025-08-25,924.09
2025-08-25,924.09
2025-08-25,914.85
2025-08-25,942.3
2025-08-25,932.87
2025-08-25,960.86
2025-08-25,960.86
2025-08-26,960.86
2025-08-26,960.86
2025-08-26,951.25
2025-08-26,941.74
2025-08-26,941.74
2025-08-26,932.32
2025-08-26,960.29
2025-08-27,960.29
2025-08-27,960.29
2025-08-27,950.69
2025-08-27,941.18
2025-08-27,931.77
2025-08-27,922.45
2025-08-27,913.23
2025-08-28,913.23
2025-08-28,913.23
2025-08-28,940.62
2025-08-28,968.84
2025-08-28,959.15
2025-08-28,949.56
2025-08-28,978.05
2025-08-29,978.05
2025-08-29,978.05
2025-08-29,978.05
2025-08-29,978.05
2025-08-29,978.05
2025-08-29,978.05
2025-08-29,978.05
2025-09-02,978.05
2025-09-02,978.05
2025-09-02,968.27
2025-09-02,958.59
2025-09-02,987.34
2025-09-02,977.47
2025-09-02,1006.79
2025-09-03,1006.79
2025-09-03,1006.79
2025-09-03,996.73
2025-09-03,1026.63
2025-09-03,1016.36
2025-09-03,1016.36
2025-09-03,1006.2
2025-09-04,1006.2
2025-09-04,1006.2
2025-09-04,996.14
2025-09-04,1026.02
2025-09-04,1015.76
2025-09-04,1046.23
2025-09-04,1077.62
2025-09-05,1077.62
2025-09-05,1077.62
2025-09-05,1066.84
2025-09-05,1098.85
2025-09-05,1087.86
2025-09-05,1076.98
2025-09-05,1109.29
2025-09-08,1109.29
2025-09-08,1109.29
2025-09-08,1098.2
2025-09-08,1131.14
2025-09-08,1119.83
2025-09-08,1153.43
2025-09-08,1141.89
2025-09-09,1141.89
2025-09-09,1141.89
2025-09-09,1176.15
2025-09-09,1211.44
2025-09-09,1199.32
2025-09-09,1187.33
2025-09-09,1175.45
2025-09-10,1175.45
2025-09-10,1175.45
2025-09-10,1163.7
