date,symbol,type,entry,sl_pts,tp_pts,atr_sl,outcome,pnl_r,equity,reasons
2025-07-09 15:30:00,NAS100,BUY,22783.01,41.4,124.3,82.8,LOSS,-1.0,495.0,bull_trend|above_vwap
2025-07-09 16:30:00,NAS100,BUY,22791.68,40.3,121.0,80.6,LOSS,-0.99,490.05,bull_trend|above_vwap
2025-07-09 17:30:00,NAS100,BUY,22822.35,37.8,113.5,75.7,LOSS,-0.98,485.15,bull_trend|above_vwap
2025-07-09 18:30:00,NAS100,BUY,22844.04,35.7,107.0,71.3,LOSS,-0.97,480.3,bull_trend|above_vwap
2025-07-09 19:30:00,NAS100,BUY,22861.04,35.1,105.4,70.3,WIN,2.88,494.71,bull_trend|above_vwap
2025-07-10 15:30:00,NAS100,BUY,22820.89,36.8,110.5,73.6,LOSS,-0.99,489.76,bull_trend|above_vwap
2025-07-10 16:30:00,NAS100,BUY,22825.95,35.5,106.4,70.9,LOSS,-0.98,484.86,bull_trend|above_vwap
2025-07-10 17:30:00,NAS100,BUY,22846.62,35.0,105.1,70.1,LOSS,-0.97,480.01,bull_trend|above_vwap
2025-07-10 18:30:00,NAS100,BUY,22842.28,34.1,102.2,68.1,WIN,2.88,494.41,bull_trend|above_vwap
2025-07-10 19:30:00,NAS100,BUY,22829.8,34.8,104.3,69.5,LOSS,-0.99,489.47,bull_trend|above_vwap
2025-07-11 15:30:00,NAS100,BUY,22810.97,31.3,93.9,62.6,WIN,2.94,504.15,bull_trend|above_vwap
2025-07-11 16:30:00,NAS100,BUY,22824.95,31.7,95.2,63.4,LOSS,-1.01,499.11,bull_trend|above_vwap
2025-07-11 17:30:00,NAS100,BUY,22818.75,31.3,93.8,62.5,LOSS,-1.0,494.12,bull_trend|above_vwap
2025-07-14 15:30:00,NAS100,BUY,22837.04,30.1,90.3,60.2,LOSS,-0.99,489.18,bull_trend|above_vwap|orb_bull
2025-07-14 16:30:00,NAS100,BUY,22871.67,31.0,93.1,62.1,LOSS,-0.98,484.29,bull_trend|above_vwap|orb_bull
2025-07-14 17:30:00,NAS100,BUY,22869.46,30.7,92.0,61.3,WIN,2.91,498.82,bull_trend|above_vwap|orb_bull
2025-07-14 18:30:00,NAS100,BUY,22865.53,30.7,92.2,61.5,LOSS,-1.0,493.83,bull_trend|above_vwap
2025-07-14 19:30:00,NAS100,BUY,22850.08,29.7,89.2,59.4,WIN,2.96,508.64,bull_trend|above_vwap
2025-07-15 15:30:00,NAS100,BUY,22972.96,30.8,92.4,61.6,LOSS,-1.02,503.56,bull_trend|above_vwap
2025-07-15 16:30:00,NAS100,BUY,22941.76,31.2,93.6,62.4,LOSS,-1.01,498.52,bull_trend|above_vwap
2025-07-15 17:30:00,NAS100,BUY,22989.91,31.7,95.1,63.4,LOSS,-1.0,493.54,bull_trend|above_vwap
2025-07-15 18:30:00,NAS100,BUY,22909.47,31.7,95.2,63.5,WIN,2.96,508.34,bull_trend|above_vwap
2025-07-15 19:30:00,NAS100,BUY,22902.2,32.4,97.1,64.7,LOSS,-1.02,503.26,bull_trend|above_vwap
2025-07-16 16:30:00,NAS100,BUY,22869.88,40.6,121.8,81.2,LOSS,-1.01,498.23,bull_trend|above_vwap
2025-07-16 17:30:00,NAS100,BUY,22872.64,40.6,121.8,81.2,LOSS,-1.0,493.24,bull_trend|above_vwap
