date,equity
2025-07-09,500.0
2025-07-09,500.0
2025-07-09,500.0
2025-07-09,495.0
2025-07-09,490.05
2025-07-09,485.15
2025-07-10,485.15
2025-07-10,485.15
2025-07-10,480.3
2025-07-10,494.71
2025-07-10,489.76
2025-07-10,484.86
2025-07-10,480.01
2025-07-11,480.01
2025-07-11,480.01
2025-07-11,480.01
2025-07-11,480.01
2025-07-11,480.01
2025-07-11,480.01
2025-07-11,480.01
2025-07-14,480.01
2025-07-14,480.01
2025-07-14,480.01
2025-07-14,494.41
2025-07-14,489.47
2025-07-14,504.15
2025-07-14,499.11
2025-07-15,499.11
2025-07-15,499.11
2025-07-15,499.11
2025-07-15,499.11
2025-07-15,499.11
2025-07-15,499.11
2025-07-15,494.12
2025-07-16,494.12
2025-07-16,494.12
2025-07-16,489.18
2025-07-16,484.29
2025-07-16,498.82
2025-07-16,493.83
2025-07-16,508.64
2025-07-17,508.64
2025-07-17,508.64
2025-07-17,503.56
2025-07-17,498.52
2025-07-17,493.54
2025-07-17,508.34
2025-07-17,503.26
2025-07-18,503.26
2025-07-18,503.26
2025-07-18,503.26
2025-07-18,498.23
2025-07-18,498.23
2025-07-18,493.24
2025-07-18,508.04
2025-07-21,508.04
2025-07-21,508.04
2025-07-21,502.96
2025-07-21,518.05
2025-07-21,533.59
2025-07-21,533.59
2025-07-21,533.59
2025-07-22,533.59
2025-07-22,533.59
2025-07-22,533.59
2025-07-22,528.26
2025-07-22,522.97
2025-07-22,517.74
2025-07-22,533.28
2025-07-23,533.28
2025-07-23,533.28
2025-07-23,549.27
2025-07-23,543.78
2025-07-23,560.09
2025-07-23,576.9
2025-07-23,571.13
2025-07-24,571.13
2025-07-24,571.13
2025-07-24,588.26
2025-07-24,582.38
2025-07-24,576.56
2025-07-24,570.79
2025-07-24,570.79
2025-07-25,570.79
2025-07-25,570.79
2025-07-25,565.08
2025-07-25,582.03
2025-07-25,576.21
2025-07-25,570.45
2025-07-25,564.75
2025-07-28,564.75
2025-07-28,564.75
2025-07-28,581.69
2025-07-28,581.69
2025-07-28,581.69
2025-07-28,581.69
2025-07-28,575.87
2025-07-29,575.87
2025-07-29,575.87
2025-07-29,575.87
2025-07-29,575.87
2025-07-29,575.87
2025-07-29,575.87
2025-07-29,575.87
2025-07-30,575.87
2025-07-30,575.87
2025-07-30,575.87
2025-07-30,575.87
2025-07-30,575.87
2025-07-30,575.87
2025-07-30,593.15
2025-07-31,593.15
2025-07-31,593.15
2025-07-31,610.94
2025-07-31,629.27
2025-07-31,622.98
2025-07-31,616.75
2025-07-31,610.58
2025-08-01,610.58
2025-08-01,610.58
2025-08-01,604.48
2025-08-01,598.43
2025-08-01,592.45
2025-08-01,610.22
2025-08-01,628.53
2025-08-04,628.53
2025-08-04,628.53
2025-08-04,628.53
2025-08-04,622.24
2025-08-04,622.24
2025-08-04,616.02
2025-08-04,609.86
2025-08-05,609.86
2025-08-05,609.86
2025-08-05,603.76
2025-08-05,597.72
2025-08-05,591.75
2025-08-05,585.83
2025-08-05,603.4
2025-08-06,603.4
2025-08-06,603.4
2025-08-06,621.51
2025-08-06,615.29
2025-08-06,633.75
2025-08-06,627.41
2025-08-06,621.14
2025-08-07,621.14
2025-08-07,621.14
2025-08-07,639.77
2025-08-07,658.97
2025-08-07,678.73
2025-08-07,699.1
2025-08-07,692.11
