date,symbol,type,entry,sl_pts,tp_pts,atr_sl,outcome,pnl_r,equity,reasons
2025-07-09 17:30:00,US30,BUY,44379.27,70.1,210.3,140.2,LOSS,-1.0,495.0,bull_trend|above_vwap
2025-07-09 18:30:00,US30,BUY,44430.8,66.4,199.1,132.7,LOSS,-0.99,490.05,bull_trend|above_vwap
2025-07-09 19:30:00,US30,BUY,44454.99,64.0,192.1,128.0,LOSS,-0.98,485.15,bull_trend|above_vwap
2025-07-10 15:30:00,US30,BUY,44694.85,64.6,193.8,129.2,LOSS,-0.97,480.3,bull_trend|above_vwap
2025-07-10 16:30:00,US30,BUY,44721.83,60.5,181.4,121.0,WIN,2.88,494.71,bull_trend|above_vwap|orb_bull
2025-07-10 17:30:00,US30,BUY,44758.52,59.8,179.5,119.7,LOSS,-0.99,489.76,bull_trend|above_vwap|orb_bull|bos_bull
2025-07-10 18:30:00,US30,BUY,44694.76,60.9,182.6,121.8,LOSS,-0.98,484.86,bull_trend|above_vwap
2025-07-10 19:30:00,US30,BUY,44647.57,62.3,186.8,124.5,LOSS,-0.97,480.01,bull_trend|above_vwap
2025-07-14 16:30:00,US30,BUY,44425.89,59.4,178.3,118.9,WIN,2.88,494.41,bull_trend|below_vwap|rsi_bull_div
2025-07-14 17:30:00,US30,BUY,44438.33,58.7,176.2,117.4,LOSS,-0.99,489.47,bull_trend|below_vwap|orb_bull|rsi_bull_div
2025-07-14 18:30:00,US30,BUY,44424.64,58.2,174.5,116.4,WIN,2.94,504.15,bull_trend|below_vwap|orb_bull|rsi_bull_div
2025-07-14 19:30:00,US30,BUY,44451.11,56.0,167.9,111.9,LOSS,-1.01,499.11,bull_trend|below_vwap|orb_bull
2025-07-15 19:30:00,US30,SELL,44016.31,53.9,161.7,107.8,LOSS,-1.0,494.12,bear_trend|below_vwap|orb_bear|bos_bear
2025-07-16 15:30:00,US30,SELL,44034.38,71.5,214.4,142.9,LOSS,-0.99,489.18,bear_trend|below_vwap|orb_bear
2025-07-16 16:30:00,US30,SELL,44128.15,75.0,224.9,149.9,LOSS,-0.98,484.29,bear_trend|below_vwap|orb_bear
2025-07-16 17:30:00,US30,SELL,44150.39,75.6,226.8,151.2,WIN,2.91,498.82,bear_trend|below_vwap|orb_bear
2025-07-16 18:30:00,US30,BUY,44222.16,77.2,231.6,154.4,LOSS,-1.0,493.83,above_vwap|orb_bull
2025-07-16 19:30:00,US30,BUY,44243.16,77.4,232.3,154.9,WIN,2.96,508.64,above_vwap|orb_bull
